City of Sunnyvale,,,,
Report Number,Date,Violation Code,race,Sex
E227598,1/10/2020,4000A1 22450A 12500A,Hispanic,M
E227599,1/10/2020,14600A,Hispanic,M
E227600,1/10/2020,22450A,Other,F
E228336,1/10/2020,21453A,Asian Indian,F
E228337,1/10/2020,27315D1,Hispanic,M
E228338,1/10/2020,22350,Other Asian,F
E228339,1/10/2020,21950A,White,M
E228340,1/10/2020,21950A 12500A 4000A1 21806A1,Hispanic,M
E228891,1/10/2020,231235A,Other Asian,F
E228892,1/10/2020,21950A,Other Asian,M
E228893,1/10/2020,21950A,Other,M
E228894,1/10/2020,21950A,Other Asian,M
E228895,1/10/2020,21950A,Other,M
E233001,1/10/2020,38300,Asian Indian,F
E233002,1/10/2020,4454A,Hispanic,F
E233003,1/10/2020,4000A1,,M
E233366,1/10/2020,21453A,White,M
E233367,1/10/2020,21453A,Other Asian,F
E233368,1/10/2020,22526A,Other Asian,F
E233369,1/10/2020,21453A,White,F
E233370,1/10/2020,21801A,White,M
E233371,1/10/2020,231235A,Other,F
E233372,1/10/2020,21453A,,F
E233373,1/10/2020,231235A 16028A,White,F
E233374,1/10/2020,27001A,White,M
E233375,1/10/2020,21453A,Other Asian,F
E233376,1/10/2020,27315D1,White,M
E233377,1/10/2020,21950A,Other,F
E233378,1/10/2020,21950A,Other Asian,F
E233379,1/10/2020,22350,Asian Indian,F
E233380,1/10/2020,21950A,Other Asian,M
E233381,1/10/2020,21950A,Asian Indian,M
E233382,1/10/2020,231235A 12500A 41525,Other Asian,F
E233383,1/10/2020,22349A,White,F
E233384,1/10/2020,22349A,Asian Indian,M
E233385,1/10/2020,22349A 4000A1,Other Asian,M
E233386,1/10/2020,22349A,Other Asian,M
E233387,1/10/2020,22350,Other Asian,M
E233997,1/10/2020,21453A,,F
E233998,1/10/2020,231235A,,F
E233999,1/10/2020,22526B,,M
E234000,1/10/2020,21453A,,M
E235124,1/10/2020,21453B,Hispanic,M
E235125,1/10/2020,21453A,Other,F
E235126,1/10/2020,21453B,Other Asian,M
E235127,1/10/2020,21950A,Other,M
E235128,1/10/2020,4000A1,Other,M
E235129,1/10/2020,21950A,Other,M
E235130,1/10/2020,22101D,,M
E235401,1/10/2020,21453A,White,M
E235402,1/10/2020,21453A,,F
E235403,1/10/2020,21453A,,F
E235404,1/10/2020,21950A,,M
E235405,1/10/2020,21950A,,M
E235406,1/10/2020,21950A 22107,White,M
E235407,1/10/2020,21461A 12500A,Hispanic,M
E235408,1/10/2020,22450A,,F
E235409,1/10/2020,22450A,,M
E235410,1/10/2020,22450A,,M
E235411,1/10/2020,22450A,,M
E235412,1/10/2020,22450A,,F
E235413,1/10/2020,22450A,,M
E235414,1/10/2020,231235A,,M
E235415,1/10/2020,231235A,,M
E235583,1/10/2020,21453A,Other Asian,M
E235584,1/10/2020,22526B,White,M
E235585,1/10/2020,21453A,White,F
E235586,1/10/2020,21453A,White,M
E235587,1/10/2020,21453A,Hispanic,F
E235588,1/10/2020,21453A,Asian Indian,F
E235589,1/10/2020,21950A,Asian Indian,F
E235590,1/10/2020,21950A,Other Asian,F
E235591,1/10/2020,231235A,Black,M
E235592,1/10/2020,231235A,Asian Indian,F
E235593,1/10/2020,21950A,Other,M
E235985,1/10/2020,21453A,,F
E235986,1/10/2020,231235A,,M
E235987,1/10/2020,21453A,,M
E235988,1/10/2020,231235A,,F
E235989,1/10/2020,21453A,,F
E235990,1/10/2020,21453A,,M
E235991,1/10/2020,231235A,,F
E235992,1/10/2020,21950A,Other,F
E235993,1/10/2020,21950A,,F
E235994,1/10/2020,21950A,Other,M
E235995,1/10/2020,21950A,,F
E235996,1/10/2020,231235A,,F
E235997,1/10/2020,231235A,,M
T490832,1/10/2020,22350,Hispanic,Male
T509646,1/10/2020,21950A,Other Asian,Female
T509806,1/10/2020,21453A,Asian Indian,Male
T510835,1/10/2020,12500A 4000A1,Hispanic,Female
T510836,1/10/2020,24603E 26708A1,Hispanic,Male
E231025,1/11/2020,146015A 146012A,Hispanic,M
T511010,1/11/2020,21453A,Other,Female
E224241,1/12/2020,22107,,M
E234450,1/12/2020,23109B,Hispanic,M
T508375,1/12/2020,12500A,Hispanic,Male
E231027,1/13/2020,22107,White,F
E233388,1/13/2020,22103,,M
E233389,1/13/2020,21955,,M
E233390,1/13/2020,21801A,,M
E233391,1/13/2020,22350,,M
E233392,1/13/2020,21461A,,F
E233393,1/13/2020,231235A,,M
E233394,1/13/2020,21950A,,M
E233395,1/13/2020,21950A,,F
E233396,1/13/2020,23123A,,F
E233397,1/13/2020,21209A,,F
E233398,1/13/2020,22500D,,F
E234451,1/13/2020,24603B,Asian Indian,F
E235594,1/13/2020,21950A,Other Asian,F
E235595,1/13/2020,21453A,Hispanic,M
E235596,1/13/2020,12500A 231235A,Hispanic,F
E235597,1/13/2020,22450A,Other Asian,F
E235598,1/13/2020,21950A,Asian Indian,F
E235599,1/13/2020,22450A,Other Asian,F
E235600,1/13/2020,22450A,White,M
E236001,1/13/2020,22450A,Black,F
