City of Sunnyvale,,,,
Report Number,Date,Violation Code,race,Sex
T505998,1/8/2019,23123A,Asian Indian,Male
T505999,1/8/2019,22101D 4000A1,Hispanic,Female
T506150,1/8/2019,23123A,Other Asian,Male
T506151,1/8/2019,23123A,Asian Indian,Female
E219278,1/9/2019,21955,Black,F
E219279,1/9/2019,21453B,White,M
E219280,1/9/2019,22450A,Asian Indian,F
E219281,1/9/2019,22450A,Asian Indian,M
E219282,1/9/2019,22450A,Other Asian,M
E219283,1/9/2019,22450A,Other Asian,F
E219284,1/9/2019,231235A,White,F
E219285,1/9/2019,231235A,White,M
E219286,1/9/2019,21453B,Other Asian,F
E219287,1/9/2019,21970A,Hispanic,M
E219288,1/9/2019,21453B,Asian Indian,F
E219289,1/9/2019,12500A,Hispanic,F
E219290,1/9/2019,21453B,White,M
E219291,1/9/2019,22450A,White,F
E219292,1/9/2019,22450A,White,F
E219293,1/9/2019,22450A,Hispanic,M
E219294,1/9/2019,22103,Other Asian,F
E219295,1/9/2019,22350,Other,M
E219677,1/9/2019,27315D1,Unknown,M
E219678,1/9/2019,22350,Unknown,F
E219679,1/9/2019,22350,Unknown,M
E219680,1/9/2019,22350,Unknown,M
E221722,1/9/2019,5204A,Asian Indian,M
E221723,1/9/2019,22450A,White,M
E221724,1/9/2019,4000A1,Black,M
E221725,1/9/2019,22102,Asian Indian,M
E222193,1/9/2019,231235A,Unknown,M
E222194,1/9/2019,21453C,Unknown,M
E222195,1/9/2019,21453C,Asian Indian,M
E222196,1/9/2019,21453B 26708A1,Unknown,M
E222197,1/9/2019,23123A 14600A,Unknown,M
E222198,1/9/2019,21453C,Unknown,M
E222199,1/9/2019,231235A,Unknown,F
E222200,1/9/2019,231235A,Unknown,F
E222501,1/9/2019,231235A 14600A,Unknown,F
E222503,1/9/2019,21461A,Unknown,M
T502311,1/9/2019,4000A1,Hispanic,Male
T504321,1/9/2019,4000A1,White,Male
T504373,1/9/2019,23152A,Hispanic,Male
T504773,1/9/2019,216501,White,Male
T505654,1/9/2019,21950A,Hispanic,Female
T505858,1/9/2019,16028A,Hispanic,Male
T506086,1/9/2019,23123A,Asian Indian,Male
T506087,1/9/2019,26710,White,Female
T506088,1/9/2019,23123A,White,Male
T506089,1/9/2019,23123A,Hispanic,Male
T506090,1/9/2019,146011A 23123A,Hispanic,Male
T506091,1/9/2019,23123A,Asian Indian,Female
T506092,1/9/2019,21658A,Asian Indian,Female
T506102,1/9/2019,23123A,White,Female
E219296,1/10/2019,21453A,Unknown,M
E219297,1/10/2019,5200A,Unknown,M
E219298,1/10/2019,23123A,Unknown,M
E219300,1/10/2019,231235A,Unknown,M
E219303,1/10/2019,231235A,Unknown,F
E219304,1/10/2019,22450A,Unknown,M
E220200,1/10/2019,24603D,Unknown,F
E221500,1/10/2019,21453A,Unknown,M
E221601,1/10/2019,12500A 16028A,Unknown,M
E221602,1/10/2019,4000A1,Unknown,M
E221726,1/10/2019,38300,White,F
E221727,1/10/2019,231235A,Black,M
E221728,1/10/2019,231235A,Black,M
E221729,1/10/2019,21453A,Asian Indian,M
E221730,1/10/2019,21209A,Other,F
E222504,1/10/2019,27360A,Unknown,F
E222505,1/10/2019,21950A,Unknown,F
E222506,1/10/2019,22450A 26708A1,Unknown,M
E222507,1/10/2019,5200A,Unknown,M
E222508,1/10/2019,21950A,Unknown,M
E222509,1/10/2019,21950A,Unknown,M
E222510,1/10/2019,21950A,Unknown,M
E222511,1/10/2019,231235A,Unknown,F
E222513,1/10/2019,231235A,Unknown,M
T495497,1/10/2019,12500A,Hispanic,Female
T502312,1/10/2019,4000A1,Other Asian,Female
T502313,1/10/2019,4000A1,Hispanic,Male
T504322,1/10/2019,12500A 22450A,Hispanic,Female
T505234,1/10/2019,12500A,Hispanic,Male
T505825,1/10/2019,22526A,Other,Male
T505951,1/10/2019,12500A 267085A,White,Male
T505952,1/10/2019,21453A,Asian Indian,Male
T505953,1/10/2019,21453A,Hispanic,Female
T505954,1/10/2019,231235A,Other Asian,Female
T505955,1/10/2019,21453A,Asian Indian,Male
T505956,1/10/2019,21453A,Asian Indian,Male
T505957,1/10/2019,14600A,Other Asian,Male
T505958,1/10/2019,231235A,Other Asian,Female
T505959,1/10/2019,24252A,Asian Indian,Female
T505960,1/10/2019,21453A,White,Male
T506012,1/10/2019,21461A 12500A,Other,Male
T506013,1/10/2019,21461A 12951A,Other,Female
T506014,1/10/2019,21461A,Other,Male
T506015,1/10/2019,21461A,Other,Female
T506126,1/10/2019,23152B,Hispanic,Male
E219681,1/11/2019,21456A,Unknown,F
E221731,1/11/2019,38300,Other Asian,F
E221732,1/11/2019,21453A,Other Asian,F
E221733,1/11/2019,22450A,White,F
E221734,1/11/2019,38300,Other Asian,F
E221735,1/11/2019,38300,Other Asian,F
E221736,1/11/2019,5204A,Hispanic,M
E221737,1/11/2019,22450A,White,M
E221738,1/11/2019,21209A,Other,M
E222514,1/11/2019,231235A,Asian Indian,M
E222515,1/11/2019,231235A,White,M
E222516,1/11/2019,27315E,White,M
E222517,1/11/2019,21950A,Other,F
E222518,1/11/2019,231235A,Asian Indian,F
T492794,1/11/2019,21950A,White,Male
T503715,1/11/2019,12500A,Hispanic,Male
T503790,1/11/2019,146011A,Hispanic,Male
T504819,1/11/2019,21456C,Hispanic,Male
T505270,1/11/2019,24600B,White,Male
T505456,1/11/2019,4000A1,Black,Male
T506016,1/11/2019,21703,Other,Male
T504198,1/12/2019,22450A,Asian Indian,Male
T504445,1/12/2019,21800A,Asian Indian,Male
T505235,1/12/2019,12500A 22400A,Hispanic,Male
T505271,1/12/2019,22107 146011A,Hispanic,Male
T506127,1/12/2019,23152B,Hispanic,Male
T505236,1/13/2019,21453A 22107,Other Asian,Male
T506103,1/13/2019,4000A1 12500A,Asian Indian,Male
T506104,1/13/2019,4000A1 16028A,White,Male
E222519,1/14/2019,22500A,White,F
E222520,1/14/2019,22500A,Other Asian,M
E222521,1/14/2019,21950A,Asian Indian,M
E222522,1/14/2019,22400A,Hispanic,M
E222523,1/14/2019,26710,White,F
E222524,1/14/2019,21453C,White,F
T501646,1/14/2019,4000A1 146011A,White,Male
T504899,1/14/2019,231235A,Other,Female
T506093,1/14/2019,22450A,Asian Indian,Male
T506094,1/14/2019,23123A,Black,Male
T506095,1/14/2019,23123A,Hispanic,Male
T506096,1/14/2019,21453B,White,Female
T506097,1/14/2019,21801A,White,Male
T506098,1/14/2019,21461A,White,Male
T506099,1/14/2019,23123A,Other,Male
E222525,1/15/2019,231235A,White,M
E222526,1/15/2019,22454A,Other,F
E222527,1/15/2019,21453B,Asian Indian,M
E222528,1/15/2019,22400A,Asian Indian,M
E222529,1/15/2019,21950A,White,F
E222530,1/15/2019,22450A,Black,M
E222531,1/15/2019,22450A,White,M
E222532,1/15/2019,22450A,Other Asian,F
E222533,1/15/2019,21461A,Other,M
E222534,1/15/2019,21461A,Asian Indian,F
E222535,1/15/2019,21461A,Other,M
T502063,1/15/2019,21453A,Other,Male
T506128,1/15/2019,23152A,Hispanic,Female
T506152,1/15/2019,21650A,White,Male
T506153,1/15/2019,21650A,Other Asian,Female
T506155,1/15/2019,22400A,Asian Indian,Female
T506156,1/15/2019,22101D,White,Male
T506157,1/15/2019,22101D,White,Female
T506158,1/15/2019,23123A,White,Female
T506159,1/15/2019,23123A,Other,Male
T506160,1/15/2019,23123A,White,Female
T506161,1/15/2019,22400A,Other,Female
E219682,1/16/2019,22450A,Unknown,M
E219683,1/16/2019,22450A,Unknown,M
E219684,1/16/2019,22450A,Unknown,F
E219685,1/16/2019,231235A,Unknown,M
E222537,1/16/2019,21453B,White,M
E222538,1/16/2019,21453B,White,F
E222539,1/16/2019,27151A,White,M
E222540,1/16/2019,21800A,White,F
E222541,1/16/2019,21453B,Other Asian,M
E222542,1/16/2019,22450A,White,M
E222543,1/16/2019,12500A 22450A,Hispanic,F
E222544,1/16/2019,22450A,Asian Indian,M
E222545,1/16/2019,14600A,White,M
E222546,1/16/2019,231235A,Asian Indian,M
E222547,1/16/2019,22450A,Other Asian,F
T500921,1/16/2019,22350,White,Male
T500922,1/16/2019,22350,Hispanic,Female
T504589,1/16/2019,21453A,Other Asian,Male
T504592,1/16/2019,21453A,White,Female
T504593,1/16/2019,16028A 21453A,White,Male
T505272,1/16/2019,23123A,White,Female
T505273,1/16/2019,23123A,Hispanic,Male
T505280,1/16/2019,4000A1,Hispanic,Male
T505701,1/16/2019,22450A 216555 21806A1,Hispanic,Female
T505961,1/16/2019,22450A,White,Female
T506017,1/16/2019,22102,Other,Male
T506106,1/16/2019,267085A,Black,Male
T506250,1/16/2019,23123A,White,Male
T506251,1/16/2019,23123A,Other Asian,Female
T506252,1/16/2019,23123A,Other Asian,Female
T506253,1/16/2019,21453A,Asian Indian,Female
T506254,1/16/2019,21453A,Asian Indian,Male
E219686,1/17/2019,22350,Unknown,M
E219687,1/17/2019,22350,Unknown,M
E219688,1/17/2019,27600,Unknown,M
E219689,1/17/2019,12500A 4000A1 16028A,Unknown,F
E219690,1/17/2019,21651A,Unknown,M
E219691,1/17/2019,21651A 12500A,Unknown,F
E221742,1/17/2019,231235A,White,M
E221743,1/17/2019,231235A,Unknown,M
E221744,1/17/2019,21453A,Unknown,F
E221745,1/17/2019,14600A 231235A,Other,M
E221746,1/17/2019,21453A,Hispanic,M
E221747,1/17/2019,231235A,Unknown,F
E222548,1/17/2019,21800A,Other,M
E222549,1/17/2019,22400A,White,M
E222550,1/17/2019,24003,Other Asian,F
E222551,1/17/2019,22450A,White,F
E222552,1/17/2019,22450A,Other Asian,F
E222553,1/17/2019,22350,Asian Indian,M
T499271,1/17/2019,12500A,Hispanic,Male
T500923,1/17/2019,22350,White,Female
T500924,1/17/2019,22350,White,Female
T502064,1/17/2019,21651A 4000A1,Asian Indian,Male
T502130,1/17/2019,21453B 12500A,Hispanic,Female
T502131,1/17/2019,21453B,Other Asian,Female
T502132,1/17/2019,22450A,Hispanic,Male
T502133,1/17/2019,22450A,Other Asian,Female
T502134,1/17/2019,21453B,Other Asian,Male
T502135,1/17/2019,22450A,Other Asian,Male
T502136,1/17/2019,22450A,Other Asian,Female
T502314,1/17/2019,4454A,Asian Indian,Male
T504323,1/17/2019,12500A,Hispanic,Male
T504594,1/17/2019,16028A,Other Asian,Male
T504820,1/17/2019,21803A,Other,Male
T505281,1/17/2019,214605C,White,Female
T505962,1/17/2019,21950A,Asian Indian,Male
T505963,1/17/2019,21950A,White,Male
T505964,1/17/2019,21453A,Other Asian,Male
T506018,1/17/2019,22107 21651B,Other,Female
T506275,1/17/2019,22450A,Other Asian,Male
E222554,1/18/2019,38300,White,M
E222555,1/18/2019,22450A,Other Asian,F
E222556,1/18/2019,22450A,White,F
E222557,1/18/2019,231235A,Other Asian,M
E222558,1/18/2019,22450A,White,F
E222559,1/18/2019,38300,White,M
E222560,1/18/2019,22450A,Hispanic,F
T502648,1/18/2019,231235A,Other Asian,Female
T502649,1/18/2019,23123A,Asian Indian,Female
T504595,1/18/2019,4000A1,Hispanic,Male
T504821,1/18/2019,12500A 16028A,Hispanic,Male
T504822,1/18/2019,24250 16028A,Other Asian,Female
T506019,1/18/2019,22107,Other,Male
T504774,1/19/2019,16028A 4454A,Hispanic,Female
T506129,1/19/2019,23152B,White,Male
T502316,1/20/2019,4000A1,Asian Indian,Male
T504324,1/20/2019,22450A,Other,Male
T503573,1/21/2019,22350 16028A,Hispanic,Male
T503574,1/21/2019,5200A,White,Female
T503861,1/21/2019,4000A1 14600A,Asian Indian,Male
T505047,1/21/2019,22350,White,Male
T505048,1/21/2019,22350,Other,Female
T505049,1/21/2019,22450A,Other,Male
T505511,1/21/2019,21453A,Asian Indian,Male
T505785,1/21/2019,21453A,Other Asian,Male
T505786,1/21/2019,21453A,White,Male
T505787,1/21/2019,21950A,Asian Indian,Male
T505788,1/21/2019,21453A,Black,Male
T505789,1/21/2019,21453A,Other Asian,Female
T505790,1/21/2019,16028A 27150A,Hispanic,Male
T506400,1/21/2019,22450A,White,Male
T506401,1/21/2019,21955,White,Male
E221603,1/22/2019,22400A,Other Asian,M
E221604,1/22/2019,231235A,Unknown,M
E221605,1/22/2019,231235A,Other,F
E221606,1/22/2019,22450A,Hispanic,M
E221607,1/22/2019,21453A,Asian Indian,M
E222561,1/22/2019,21453A,Unknown,M
E222562,1/22/2019,231235A,Unknown,M
E222563,1/22/2019,23123A,Unknown,M
E222564,1/22/2019,21453A,Unknown,F
E222565,1/22/2019,21453A,Unknown,F
E222566,1/22/2019,16028A,Unknown,F
E222567,1/22/2019,24951B4,Unknown,M
T503959,1/22/2019,22526A,Other Asian,Male
T505740,1/22/2019,22450A,Chinese,Male
T505741,1/22/2019,22450A,Chinese,Male
T505742,1/22/2019,21453A,Black,Female
T505743,1/22/2019,22450A,Chinese,Female
T506162,1/22/2019,23123A,Other,Female
T506163,1/22/2019,27602 5200A,Other Asian,Female
T506164,1/22/2019,231235A,Other Asian,Female
T506165,1/22/2019,21453A,Other Asian,Male
T506166,1/22/2019,4454A,White,Male
T506167,1/22/2019,22500D,Asian Indian,Male
T506168,1/22/2019,22500D,Other,Male
T506169,1/22/2019,22500D,Asian Indian,Female
T506225,1/22/2019,22101D,Other,Male
T506226,1/22/2019,22101D,Unknown,Male
T506425,1/22/2019,21453A,White,Male
T506426,1/22/2019,22106,Hispanic,Male
T506427,1/22/2019,21453A,Other Asian,Female
T506428,1/22/2019,22102,Other,Male
T506429,1/22/2019,22102,Other,Male
T506430,1/22/2019,22102 16028A,Other Asian,Female
T506431,1/22/2019,22102,Other,Male
T506432,1/22/2019,23123A,Other Asian,Male
E219306,1/23/2019,231235A,Unknown,M
E219307,1/23/2019,231235A,Unknown,F
E219308,1/23/2019,231235A,Unknown,M
E219309,1/23/2019,231235A,Unknown,F
E219311,1/23/2019,231235A,Unknown,F
E219312,1/23/2019,231235A,Unknown,F
E219313,1/23/2019,231235A,Unknown,F
E219314,1/23/2019,21950A,Unknown,M
E219315,1/23/2019,21950A,Unknown,F
E219316,1/23/2019,22450A,Unknown,M
E219317,1/23/2019,22450A,Unknown,M
E219318,1/23/2019,22450A,Unknown,F
E219692,1/23/2019,231235A,Unknown,F
E219693,1/23/2019,231235A,Unknown,M
E219694,1/23/2019,21456B,Unknown,M
E219695,1/23/2019,231235A,Unknown,F
E219697,1/23/2019,16028A,Unknown,M
E219698,1/23/2019,231235A,Unknown,M
E219699,1/23/2019,231235A,Unknown,F
E219700,1/23/2019,21950A,Unknown,M
E219982,1/23/2019,231235A,Unknown,M
E219983,1/23/2019,231235A,Unknown,F
E219984,1/23/2019,22450A,Unknown,F
E219985,1/23/2019,22450A,Unknown,F
E219986,1/23/2019,12500A 22450A,Unknown,M
E219987,1/23/2019,27315D1 12500A,Unknown,M
E219988,1/23/2019,5200A 16028A,Unknown,M
E219989,1/23/2019,231235A,Unknown,F
E221608,1/23/2019,21453B,White,M
E221609,1/23/2019,21453B,White,F
E221610,1/23/2019,21453B,Asian Indian,M
E221611,1/23/2019,21453B,Asian Indian,F
E221612,1/23/2019,21453B,Hispanic,F
E221613,1/23/2019,22450A,White,F
E221614,1/23/2019,22450A,White,M
E221615,1/23/2019,22450A,Other,F
E221616,1/23/2019,22450A,White,F
E221617,1/23/2019,231235A,White,F
E221618,1/23/2019,21804A,Other Asian,F
E221619,1/23/2019,21453B,Other Asian,F
E221620,1/23/2019,231235A,Other Asian,F
E221621,1/23/2019,22450A,Hispanic,M
E221622,1/23/2019,22450A,White,F
E221623,1/23/2019,22349A,Hispanic,F
E221748,1/23/2019,231235A,Other Asian,F
E221749,1/23/2019,21950A,Unknown,F
E221750,1/23/2019,22450A,Asian Indian,M
E221751,1/23/2019,22450A,Other Asian,F
E221752,1/23/2019,231235A,Other Asian,F
E221753,1/23/2019,12500A,Hispanic,M
E221754,1/23/2019,231235A,Hispanic,F
E221755,1/23/2019,23123A,White,M
T498717,1/23/2019,21453A,Other,Male
T501762,1/23/2019,4000A1,White,Female
T503257,1/23/2019,21453A,Other Asian,Male
T505512,1/23/2019,22450A,Other Asian,Female
T505626,1/23/2019,24603B 23223B 16028A,White,Male
T506050,1/23/2019,21460A 12500A,White,Male
T506051,1/23/2019,21460A,Hispanic,Female
T506052,1/23/2019,21650A,Asian Indian,Male
T506053,1/23/2019,21460A,White,Female
T506054,1/23/2019,21460A,White,Male
T506055,1/23/2019,21460A,Asian Indian,Male
T506056,1/23/2019,22400A,Other Asian,Male
T506057,1/23/2019,21460A,White,Male
T506058,1/23/2019,21460A,Other Asian,Male
T506059,1/23/2019,22450A,Asian Indian,Male
T506060,1/23/2019,23123A,Other,Male
T506255,1/23/2019,23123A,White,Male
T506256,1/23/2019,21453A,White,Male
T506257,1/23/2019,231235A,White,Male
T506258,1/23/2019,231235A,Other Asian,Male
T506259,1/23/2019,231235A,White,Female
T506260,1/23/2019,21453A,Hispanic,Male
T506261,1/23/2019,21209A,Other Asian,Female
T506262,1/23/2019,231235A,Other Asian,Female
T506433,1/23/2019,22450A,White,Male
T506434,1/23/2019,22450A,Other Asian,Male
T506435,1/23/2019,22450A,Other Asian,Female
T506436,1/23/2019,21453A,White,Female
T506437,1/23/2019,21453A,Hispanic,Male
T506438,1/23/2019,21950A,Other Asian,Female
T506439,1/23/2019,21453A,White,Female
T506440,1/23/2019,22450A,Other Asian,Female
T506441,1/23/2019,22450A 22350,Other,Male
E219319,1/24/2019,21209A,Unknown,M
E219320,1/24/2019,21209A,Unknown,F
E219321,1/24/2019,21209A,Unknown,M
E219322,1/24/2019,21209A,Unknown,M
E219323,1/24/2019,21209A,Unknown,M
E219324,1/24/2019,21209A,Unknown,F
E219325,1/24/2019,21209A,Unknown,F
E219326,1/24/2019,21209A,Unknown,M
E219990,1/24/2019,22526A,Unknown,M
E219991,1/24/2019,22526A,Unknown,M
E219992,1/24/2019,22350 27360A,Unknown,M
E219993,1/24/2019,22350,Unknown,M
E222568,1/24/2019,4000A1 12500A 16028A,Unknown,M
E222569,1/24/2019,22350,Unknown,F
T503220,1/24/2019,22350,Other Asian,Male
T503960,1/24/2019,21460A,Other Asian,Male
T505274,1/24/2019,22450A,Asian Indian,Male
T505389,1/24/2019,4000A1 16028A,Hispanic,Male
T505390,1/24/2019,24603B 12500A,Hispanic,Male
T505948,1/24/2019,146011A,Hispanic,Male
T505965,1/24/2019,22450A,Other,Female
T505966,1/24/2019,231235A,Hispanic,Male
T506026,1/24/2019,22106,Asian Indian,Male
T506130,1/24/2019,23152A,Asian Indian,Male
T506170,1/24/2019,23123A,White,Male
T506171,1/24/2019,22450A 4000A1,Hispanic,Female
T506172,1/24/2019,21453A,Asian Indian,Male
T506173,1/24/2019,21950A,White,Male
T506174,1/24/2019,23123A,Hispanic,Male
T506442,1/24/2019,22101D,Other Asian,Male
T506450,1/24/2019,21955,Asian Indian,Male
T506451,1/24/2019,21453A,White,Female
T506452,1/24/2019,22450A,Other,Female
T506453,1/24/2019,22450A,Hispanic,Male
T506455,1/24/2019,22450A,White,Male
T506456,1/24/2019,22450A,Asian Indian,Female
T506475,1/24/2019,21209A,Hispanic,Male
T506476,1/24/2019,21209A,Other Asian,Male
T506477,1/24/2019,21209A,Chinese,Male
T506478,1/24/2019,21209A,Asian Indian,Male
T506479,1/24/2019,21209A,Other Asian,Female
T506480,1/24/2019,21209A,White,Female
E221624,1/25/2019,21453B,Other Asian,M
E221625,1/25/2019,22450A,Other,M
E221626,1/25/2019,22450A,Hispanic,F
E221628,1/25/2019,22450A,Other Asian,M
E221629,1/25/2019,22101D,White,M
E221630,1/25/2019,27400,White,M
E221631,1/25/2019,231235A,Other,M
E221632,1/25/2019,21456A,White,F
E221633,1/25/2019,22349A,Other Asian,F
E221634,1/25/2019,22349A,Other,M
E221635,1/25/2019,21804A 27315D1,Asian Indian,F
E221636,1/25/2019,231235A,Asian Indian,M
E221638,1/25/2019,22349A,Other Asian,M
E221756,1/25/2019,22450A 12500A,Other,M
E221757,1/25/2019,231235A,White,M
E221758,1/25/2019,26708A1,Other Asian,F
E221759,1/25/2019,22450A,Other,F
E221760,1/25/2019,22400A,Other,M
T495498,1/25/2019,267085A,Hispanic,Male
T504403,1/25/2019,22350,Unknown,Male
T504404,1/25/2019,22350,Other Asian,Male
T504405,1/25/2019,22350,Unknown,Female
T504406,1/25/2019,21651B,Other Asian,Female
T504407,1/25/2019,22350,Unknown,Female
T504408,1/25/2019,22350,Unknown,Female
T504409,1/25/2019,22350 5200A,Unknown,Male
T505967,1/25/2019,231235A,Other Asian,Male
T506351,1/25/2019,23123A,Hispanic,Female
T506375,1/25/2019,23123A 4454A 5204A,Other,Female
E219327,1/26/2019,21461A,Unknown,M
E221639,1/26/2019,21453A,Asian Indian,M
E221640,1/26/2019,21453C,Other Asian,M
T502893,1/26/2019,4000A1 16028A,Black,Female
T504823,1/26/2019,23223B,Other,Female
T505391,1/26/2019,24400A1,White,Male
T506131,1/26/2019,23152A 21461A,Other,Female
T506276,1/26/2019,22350,Asian Indian,Male
T506277,1/26/2019,21453A,Asian Indian,Male
T503717,1/27/2019,24601,Hispanic,Male
T503862,1/27/2019,23152A,Hispanic,Male
T504824,1/27/2019,4000A1 27150A 24600E 16028A,Other,Male
T504924,1/27/2019,12500A,Hispanic,Female
T505702,1/27/2019,12500A 21453A,Hispanic,Female
T505826,1/27/2019,12500A 16028A,Hispanic,Male
T506500,1/27/2019,4000A1,Black,Male
T506501,1/27/2019,23123A 24603E,Hispanic,Male
T506525,1/27/2019,21201D2,White,Male
E219329,1/28/2019,231235A,Unknown,M
E221641,1/28/2019,22400A,White,M
E221642,1/28/2019,22450A,Other Asian,M
E221643,1/28/2019,22450A,Asian Indian,M
E221644,1/28/2019,21453A,White,M
E221645,1/28/2019,231235A,Other Asian,F
E221646,1/28/2019,231235A 12500A,Hispanic,F
E221647,1/28/2019,231235A,Other Asian,F
E221648,1/28/2019,22450A,Other,F
E221649,1/28/2019,5200A,Hispanic,F
E221650,1/28/2019,231235A,Other Asian,F
E221651,1/28/2019,231235A,White,F
E221652,1/28/2019,22450A,Other Asian,F
E221653,1/28/2019,22450A,Other Asian,F
E221654,1/28/2019,22450A,Asian Indian,F
E221655,1/28/2019,231235A,Hispanic,F
E221656,1/28/2019,21955,Asian Indian,M
E221657,1/28/2019,14600A,White,F
E221658,1/28/2019,22350,Other Asian,M
T499272,1/28/2019,21453A,Other Asian,Female
T499273,1/28/2019,4000A1,Other Asian,Female
T502065,1/28/2019,12951A,Other Asian,Male
T503791,1/28/2019,22400A,Asian Indian,Female
T503792,1/28/2019,22400A,Other Asian,Male
T503793,1/28/2019,22400A,Hispanic,Male
T503794,1/28/2019,22450A,Asian Indian,Male
