City of Sunnyvale,,,,
Report Number,Date,Violation Code,race,Sex
T503714,1/1/2019,24601,Black,Male
T506100,1/1/2019,267085A 12500A,Hispanic,Male
E219189,1/2/2019,23123A 16028A,Unknown,M
E219190,1/2/2019,21453A,Unknown,F
E219191,1/2/2019,21453A,Unknown,M
E219192,1/2/2019,22350,Unknown,M
E219193,1/2/2019,22107,Unknown,M
E219194,1/2/2019,22350,Unknown,M
E219195,1/2/2019,27315D1,Unknown,M
E219196,1/2/2019,27315E,Unknown,M
E219198,1/2/2019,4000A1 16028A,Unknown,M
E219199,1/2/2019,27315E,Unknown,M
E219200,1/2/2019,22450A,Unknown,M
E219256,1/2/2019,22450A,White,F
E219257,1/2/2019,22450A,Hispanic,F
E219258,1/2/2019,22450A,Other,F
E219259,1/2/2019,22450A,Unknown,F
E219260,1/2/2019,22450A,Hispanic,M
E219666,1/2/2019,22450A,Unknown,F
E219667,1/2/2019,22450A,Unknown,M
E219668,1/2/2019,16028A,Unknown,M
E219669,1/2/2019,231235A 12500A,Unknown,F
E219670,1/2/2019,21955,Unknown,M
E222174,1/2/2019,22450A 12500A,Hispanic,F
E222175,1/2/2019,231235A,Asian Indian,M
T502062,1/2/2019,21453A,Hispanic,Male
E219261,1/3/2019,21456A,White,M
E219262,1/3/2019,22349A,Black,M
E219263,1/3/2019,22349A,Hispanic,F
E219264,1/3/2019,21654A,Other Asian,F
E219265,1/3/2019,22349A,Hispanic,F
E219266,1/3/2019,231235A,Other Asian,F
E219671,1/3/2019,22350,Unknown,M
E219671,1/3/2019,22350,,M
E219672,1/3/2019,22350,Unknown,F
E219673,1/3/2019,22350,Unknown,M
E219674,1/3/2019,22350,Unknown,M
E219675,1/3/2019,22350,Unknown,F
E219676,1/3/2019,22350,Unknown,M
E222177,1/3/2019,231235A,Other,M
E222178,1/3/2019,21453B,Other,M
E222179,1/3/2019,22350,Hispanic,M
E222180,1/3/2019,22350,Other,M
E222181,1/3/2019,22350,Other Asian,M
E222182,1/3/2019,12500A 27007,Hispanic,M
E222183,1/3/2019,22350,Asian Indian,M
E222184,1/3/2019,22350 12500A,Hispanic,F
E222185,1/3/2019,231235A,Other,M
E222186,1/3/2019,231235A,Asian Indian,M
E222187,1/3/2019,22100A,Unknown,M
E222188,1/3/2019,231235A,White,F
E222189,1/3/2019,12500A 21461A,Asian Indian,F
E222190,1/3/2019,21461A,Other Asian,M
E222191,1/3/2019,21461A,Asian Indian,M
E222192,1/3/2019,22350,Unknown,M
T492793,1/3/2019,21950A,Asian Indian,Male
T502310,1/3/2019,21804A,Asian Indian,Male
T504319,1/3/2019,21453A,Hispanic,Male
T504320,1/3/2019,24603B 24400A,White,Male
T504587,1/3/2019,12500A 16028A 22107,Hispanic,Male
T505781,1/3/2019,21453A,Asian Indian,Male
T505857,1/3/2019,16028A,White,Female
T505943,1/3/2019,231235A 14600A,Asian Indian,Male
T504674,1/4/2019,23123A,Other Asian,Male
T504772,1/4/2019,12951A 22450A 4454A,Unknown,Female
T505455,1/4/2019,23123A,Other Asian,Female
T506010,1/4/2019,22450A,Other,Female
T506101,1/4/2019,16028A,Hispanic,Male
T498715,1/5/2019,4000A1 5201A,Other,Male
T506011,1/5/2019,22102,Other,Male
T505944,1/6/2019,21453A 14600A,Hispanic,Female
E219267,1/7/2019,21950A,White,F
E219268,1/7/2019,231235A,Asian Indian,M
E219269,1/7/2019,21950A,Asian Indian,M
E219270,1/7/2019,27315D1,Other,M
E219271,1/7/2019,21461A,White,M
E219272,1/7/2019,231235A,Other,M
E219273,1/7/2019,22400A,Asian Indian,M
E219274,1/7/2019,21453B,Asian Indian,F
E219275,1/7/2019,22103,Asian Indian,F
E219276,1/7/2019,21461A,Other Asian,F
E219277,1/7/2019,21461A,Hispanic,F
T500919,1/7/2019,22350,Other Asian,Female
T500920,1/7/2019,22350,Other Asian,Male
T504898,1/7/2019,5200A 267085A,Other,Male
T505782,1/7/2019,21950A,Asian Indian,Female
T505783,1/7/2019,22450A,Other,Female
T505784,1/7/2019,21453A,Other Asian,Male
T505945,1/7/2019,4000A1 5200A,Hispanic,Male
T506081,1/7/2019,23123A,Asian Indian,Male
T506082,1/7/2019,23123A,Hispanic,Male
T506083,1/7/2019,23123A,Other,Female
T506084,1/7/2019,21658A 22350 26710,Hispanic,Male
T506085,1/7/2019,23123A,Hispanic,Male
E218990,1/8/2019,22349A,Unknown,M
E218991,1/8/2019,22349A,Unknown,F
E218992,1/8/2019,22349A,Unknown,M
E218993,1/8/2019,21460A,Unknown,M
E218995,1/8/2019,22102,Unknown,M
E218996,1/8/2019,21460A,Unknown,M
E218997,1/8/2019,22102,Unknown,M
E218998,1/8/2019,22102,Unknown,M
E218999,1/8/2019,21460A,Unknown,F
E219000,1/8/2019,21460A,Unknown,F
E219301,1/8/2019,21460A,Unknown,M
E219302,1/8/2019,21460A 12951A,Unknown,F
T501645,1/8/2019,24603B 146015A 146012A 146011A,White,Male
T505610,1/8/2019,21950A,Other Asian,Male
T505997,1/8/2019,231235A,Hispanic,Male
